col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
87,87,87,255,168,168,168,255,0
38,38,38,255,37,37,37,255,0
99,99,99,255,35,35,35,255,0
36,36,36,255,97,97,97,255,0
39,39,39,255,37,37,37,255,0
37,37,37,255,31,31,31,255,0
33,33,33,255,69,69,69,255,0
31,31,31,255,38,38,38,255,0
35,35,35,255,118,118,118,255,0
41,41,41,255,140,140,140,255,0
63,63,63,255,34,34,34,255,0
138,138,138,255,47,47,47,255,0
50,50,50,255,36,36,36,255,0
38,38,38,255,122,122,122,255,0
74,74,74,255,117,117,117,255,0
79,79,79,255,35,35,35,255,0
50,50,50,255,34,34,34,255,0
40,40,40,255,156,156,156,255,0
141,141,141,255,85,85,85,255,0
45,45,45,255,88,88,88,255,0
98,98,98,255,92,92,92,255,0
78,78,78,255,40,40,40,255,0
36,36,36,255,36,36,36,255,0
31,31,31,255,39,39,39,255,0
68,68,68,255,38,38,38,255,0
33,33,33,255,55,55,55,255,0
33,33,33,255,37,37,37,255,0
57,57,57,255,93,93,93,255,0
53,53,53,255,33,33,33,255,0
33,33,33,255,89,89,89,255,0
84,84,84,255,119,119,119,255,0
37,37,37,255,38,38,38,255,0
38,38,38,255,36,36,36,255,0
32,32,32,255,34,34,34,255,0
35,35,35,255,160,160,160,255,0
58,58,58,255,39,39,39,255,0
34,34,34,255,40,40,40,255,0
33,33,33,255,142,142,142,255,0
33,33,33,255,34,34,34,255,0
32,32,32,255,41,41,41,255,0
110,110,110,255,27,27,27,255,0
33,33,33,255,36,36,36,255,0
71,71,71,255,102,102,102,255,0
30,30,30,255,36,36,36,255,0
33,33,33,255,37,37,37,255,0
32,32,32,255,85,85,85,255,0
108,108,108,255,163,163,163,255,0
36,36,36,255,156,156,156,255,0
97,97,97,255,141,141,141,255,0
40,40,40,255,24,24,24,255,0
33,33,33,255,114,114,114,255,0
34,34,34,255,104,104,104,255,0
42,42,42,255,37,37,37,255,0
33,33,33,255,128,128,128,255,0
32,32,32,255,35,35,35,255,0
41,41,41,255,40,40,40,255,0
31,31,31,255,176,176,176,255,0
90,90,90,255,32,32,32,255,0
61,61,61,255,122,122,122,255,0
34,34,34,255,81,81,81,255,0
87,87,87,255,52,52,52,255,0
82,82,82,255,38,38,38,255,0
33,33,33,255,34,34,34,255,0
41,41,41,255,156,156,156,255,0
33,33,33,255,144,144,144,255,0
35,35,35,255,128,128,128,255,0
42,42,42,255,35,35,35,255,0
57,57,57,255,169,169,169,255,0
41,41,41,255,31,31,31,255,0
97,97,97,255,137,137,137,255,0
42,42,42,255,36,36,36,255,0
37,37,37,255,86,86,86,255,0
44,44,44,255,182,182,182,255,0
45,45,45,255,120,120,120,255,0
32,32,32,255,45,45,45,255,0
80,80,80,255,37,37,37,255,0
39,39,39,255,36,36,36,255,0
98,98,98,255,98,98,98,255,0
78,78,78,255,41,41,41,255,0
33,33,33,255,144,144,144,255,0
31,31,31,255,33,33,33,255,0
107,107,107,255,0,0,0,255,0
41,41,41,255,28,28,28,255,0
51,51,51,255,42,42,42,255,0
50,50,50,255,34,34,34,255,0
26,26,26,255,37,37,37,255,0
33,33,33,255,37,37,37,255,0
33,33,33,255,47,47,47,255,0
34,34,34,255,86,86,86,255,0
75,75,75,255,61,61,61,255,0
34,34,34,255,38,38,38,255,0
111,111,111,255,34,34,34,255,0
32,32,32,255,30,30,30,255,0
34,34,34,255,37,37,37,255,0
96,96,96,255,37,37,37,255,0
59,59,59,255,38,38,38,255,0
37,37,37,255,34,34,34,255,0
47,47,47,255,127,127,127,255,0
104,104,104,255,53,53,53,255,0
36,36,36,255,37,37,37,255,0
34,34,34,255,189,189,189,255,0
35,35,35,255,35,35,35,255,0
57,57,57,255,31,31,31,255,0
31,31,31,255,180,180,180,255,0
33,33,33,255,50,50,50,255,0
75,75,75,255,112,112,112,255,0
37,37,37,255,84,84,84,255,0
66,66,66,255,209,209,209,255,0
36,36,36,255,34,34,34,255,0
36,36,36,255,78,78,78,255,0
93,93,93,255,34,34,34,255,0
73,73,73,255,63,63,63,255,0
71,71,71,255,35,35,35,255,0
30,30,30,255,37,37,37,255,0
115,115,115,255,30,30,30,255,0
46,46,46,255,128,128,128,255,0
85,85,85,255,32,32,32,255,0
56,56,56,255,34,34,34,255,0
29,29,29,255,37,37,37,255,0
51,51,51,255,34,34,34,255,0
31,31,31,255,36,36,36,255,0
33,33,33,255,55,55,55,255,0
40,40,40,255,80,80,80,255,0
34,34,34,255,67,67,67,255,0
32,32,32,255,40,40,40,255,0
50,50,50,255,38,38,38,255,0
43,43,43,255,35,35,35,255,0
105,105,105,255,38,38,38,255,0
67,67,67,255,35,35,35,255,0
40,40,40,255,125,125,125,255,0
31,31,31,255,38,38,38,255,0
31,31,31,255,31,31,31,255,0
61,61,61,255,126,126,126,255,0
136,136,136,255,70,70,70,255,0
96,96,96,255,37,37,37,255,0
44,44,44,255,105,105,105,255,0
33,33,33,255,40,40,40,255,0
121,121,121,255,37,37,37,255,0
35,35,35,255,84,84,84,255,0
40,40,40,255,63,63,63,255,0
41,41,41,255,36,36,36,255,0
33,33,33,255,35,35,35,255,0
112,112,112,255,37,37,37,255,0
33,33,33,255,40,40,40,255,0
37,37,37,255,77,77,77,255,0
32,32,32,255,158,158,158,255,0
